symbol,name,long_only,threshold,best_short,best_long,strategy_return,market_return,edge
300750,宁德时代,True,0.0,59,225,11.4676,22.9594,-11.4918
300750,宁德时代,False,0.0,59,225,6.6526,22.9594,-16.3068
300750,宁德时代,True,0.02,17,255,12.6928,22.9594,-10.2666
300750,宁德时代,False,0.02,59,220,5.1626,22.9594,-17.7968
600519,贵州茅台,True,0.0,15,100,5.2661,8.9311,-3.6651
600519,贵州茅台,False,0.0,15,100,1.4203,8.9311,-7.5109
600519,贵州茅台,True,0.02,45,275,5.5373,8.9311,-3.3939
600519,贵州茅台,False,0.02,23,105,1.3623,8.9311,-7.5689
601318,中国平安,True,0.0,21,240,2.4121,1.1845,1.2276
601318,中国平安,False,0.0,21,240,2.3212,1.1845,1.1366
601318,中国平安,True,0.02,17,210,2.7736,1.1845,1.5891
601318,中国平安,False,0.02,18,210,1.9513,1.1845,0.7668
300308,中际旭创,True,0.0,35,215,92.2061,196.4576,-104.2515
300308,中际旭创,False,0.0,35,215,16.5415,196.4576,-179.9162
300308,中际旭创,True,0.02,19,265,102.4731,196.4576,-93.9845
300308,中际旭创,False,0.02,18,270,13.3564,196.4576,-183.1013
601899,紫金矿业,True,0.0,36,295,8.2352,10.7053,-2.4702
601899,紫金矿业,False,0.0,15,295,3.7461,10.7053,-6.9592
601899,紫金矿业,True,0.02,37,295,8.8466,10.7053,-1.8587
601899,紫金矿业,False,0.02,37,295,4.1547,10.7053,-6.5506
600036,招商银行,True,0.0,32,180,2.569,2.6901,-0.1211
600036,招商银行,False,0.0,32,180,1.1218,2.6901,-1.5683
600036,招商银行,True,0.02,23,180,2.6839,2.6901,-0.0063
600036,招商银行,False,0.02,47,195,0.9751,2.6901,-1.7151
300502,新易盛,True,0.0,5,100,127.5418,206.5475,-79.0058
300502,新易盛,False,0.0,18,120,47.6194,206.5475,-158.9282
300502,新易盛,True,0.02,7,100,96.3917,206.5475,-110.1558
300502,新易盛,False,0.02,5,110,29.0142,206.5475,-177.5334
000333,美的集团,True,0.0,14,130,5.109,4.7592,0.3498
000333,美的集团,False,0.0,14,130,3.2533,4.7592,-1.5058
000333,美的集团,True,0.02,18,230,4.6932,4.7592,-0.0659
000333,美的集团,False,0.02,8,180,2.0264,4.7592,-2.7327
601166,兴业银行,True,0.0,25,110,0.8682,0.8311,0.0371
601166,兴业银行,False,0.0,25,110,0.1929,0.8311,-0.6383
601166,兴业银行,True,0.02,28,220,0.7617,0.8311,-0.0694
601166,兴业银行,False,0.02,39,130,-0.0922,0.8311,-0.9233
600900,长江电力,True,0.0,13,265,2.0247,2.5332,-0.5085
600900,长江电力,False,0.0,13,265,1.2836,2.5332,-1.2496
600900,长江电力,True,0.02,57,285,1.5619,2.5332,-0.9713
600900,长江电力,False,0.02,57,300,0.9173,2.5332,-1.6158
