symbol,name,long_only,threshold,n_segments,oos_strategy_return,oos_market_return,edge
510300,沪深300ETF,True,0.0,9,0.0897,0.2889,-0.1992
510300,沪深300ETF,False,0.0,9,-0.182,0.2889,-0.4708
510300,沪深300ETF,True,0.02,9,0.0814,0.2889,-0.2075
510300,沪深300ETF,False,0.02,9,-0.1514,0.2889,-0.4403
510500,中证500ETF,True,0.0,9,0.5365,0.4537,0.0827
510500,中证500ETF,False,0.0,9,-0.0162,0.4537,-0.4699
510500,中证500ETF,True,0.02,9,0.6313,0.4537,0.1775
510500,中证500ETF,False,0.02,9,-0.0419,0.4537,-0.4956
512100,中证1000ETF,True,0.0,7,0.4513,0.843,-0.3917
512100,中证1000ETF,False,0.0,7,0.0079,0.843,-0.8351
512100,中证1000ETF,True,0.02,7,0.4388,0.843,-0.4042
512100,中证1000ETF,False,0.02,7,-0.1493,0.843,-0.9922
518880,黄金ETF,True,0.0,9,2.1256,2.6138,-0.4882
518880,黄金ETF,False,0.0,9,1.1617,2.6138,-1.4522
518880,黄金ETF,True,0.02,9,2.0336,2.6138,-0.5802
518880,黄金ETF,False,0.02,9,1.5115,2.6138,-1.1024
511010,国债ETF,True,0.0,9,0.2926,0.3066,-0.0141
511010,国债ETF,False,0.0,9,0.2709,0.3066,-0.0357
511010,国债ETF,True,0.02,9,0.0814,0.3066,-0.2252
511010,国债ETF,False,0.02,9,0.0627,0.3066,-0.2439
511880,银华日利,True,0.0,9,0.1405,0.1405,0.0
511880,银华日利,False,0.0,9,0.1405,0.1405,0.0
511880,银华日利,True,0.02,9,0.0,0.1405,-0.1405
511880,银华日利,False,0.02,9,0.0,0.1405,-0.1405
