lookback,top_n,strategy_final,equal_weight_final,edge,sharpe,wins
1,1,1.27,2.17,-0.9,0.23,False
1,2,2.21,2.17,0.05,0.43,True
1,3,2.33,2.17,0.17,0.45,True
1,5,2.68,2.17,0.51,0.51,True
1,7,2.12,2.17,-0.04,0.42,False
3,1,1.21,1.63,-0.41,0.23,False
3,2,1.31,1.63,-0.31,0.24,False
3,3,1.41,1.63,-0.22,0.25,False
3,5,1.35,1.63,-0.28,0.24,False
3,7,1.42,1.63,-0.21,0.26,False
6,1,2.86,1.79,1.07,0.5,True
6,2,3.99,1.79,2.19,0.68,True
6,3,3.13,1.79,1.33,0.62,True
6,5,2.33,1.79,0.54,0.53,True
6,7,1.83,1.79,0.04,0.41,True
12,1,4.62,2.24,2.39,0.7,True
12,2,3.54,2.24,1.3,0.69,True
12,3,3.54,2.24,1.3,0.73,True
12,5,2.62,2.24,0.38,0.64,True
12,7,2.22,2.24,-0.02,0.56,False
